Node ID,,context,1,1.1,1.2,1.3,2,2.1,2.2,3,3.1,3.2,3.3,3.4
,Node,Focus,Focus,Objective,Material Object,Immaterial ,Factual,Opinion,Subjective,Abstract ,Positive,Negative,Creative ,General/Universal
context,Focus,A focus,A Focus ,that is an objective focus,and is on a material object ,that is immaterial ,and factual,and is an opinion or perspective,that is subjective focus ,that is an abstract subjective focus ,and is positive,and is negative ,that is a creative subjective focus,that is a general or universal focus 
1,Focus,A Focus ,Specifically or in particular,A Focus that is an objective focus ,,,,,A Focus that is subjective focus ,A Focus that is an abstract subjective focus ,A Focus that is subjective focus that is an abstract subjective focus and positive ,A Focus that is subjective focus that is an abstract subjective focus and negative ,A Focus that is subjective focus that is creative ,A Focus that is a general or universal focus 
1.1,  Objective,that is an objective focus ,A Focus that is an objective focus ,An objective focus on an objective focus,A Focus that is an objective focus and is on a material object ,A Focus that is an objective focus that is immaterial ,A Focus that is an objective focus and factual ,A Focus that is an objective focus and an opinion or perspective ,,,,,,
1.1.1,    Material Object,and is on a material object ,A Focus that is an objective focus and is on a material object ,A Focus that is an objective focus     Material Object,two parts of a material object,,,,,,,,,
1.1.2,    Immaterial,that is immaterial ,A Focus that is an objective focus that is immaterial ,A Focus that is an objective focus that is immaterial ,,two parts of an immaterial concept,,,,,,,,
1.1.2.1,        Factual,and factual ,A Focus that is an objective focus that is immaterial and factual ,A Focus that is an objective focus and factual ,,A Focus that is an objective focus that is immaterial and factual ,A factual statement describing a subjective immaterial factual concept,,,,,,,
1.1.2.2,        Opinion/Perspective,and an opinion or perspective ,A Focus that is an objective focus that is immaterial and an opinion or perspective ,A Focus that is an objective focus and an opinion or perspective ,,A Focus that is an objective focus that is immaterial and an opinion or perspective ,,An opinion or perspective focused on an opinion or perspective,,,,,,
1.2,    Subjective,that is a subjective focus ,A Focus that is a subjective focus ,,,,,,A subjective focus towards a subjective focus,,,,,
1.2.1,        Abstract,that is an abstract subjective focus ,A Focus that is a subjective focus that is an abstract subjective focus ,,,,,,A Focus that is subjective focus that is an abstract subjective focus ,An abstract subjective focus on a focus that is subjective and abstract,,,,
1.2.1.1,            Positive,and positive ,A Focus that is a subjective focus that is an abstract subjective focus and positive ,,,,,,A Focus that is subjective focus that is an abstract subjective focus and positive ,,A positive emphasis on an abstract subjective focus,,,
1.2.1.2,            Negative,and negative ,A Focus that is a subjective focus that is an abstract subjective focus and negative ,,,,,,A Focus that is subjective focus that is an abstract subjective focus and negative ,,,a negative emphasis on an abstract subjective focus,,
1.2.2,        Creative,that is creative ,A Focus that is a subjective focus that is creative ,,,,,,A Focus that is subjective focus that is creative ,,,,A creative concept pertaining to a subjective focus that is creative,
1.3,    General/Universal,that is a general or universal focus ,A Focus that is a subjective focus that is a general or universal focus ,,,,,,,,,,,A general or universal focus on a general or universal concept
2,Spatial,In time or space ,A Focus In time or space ,A Focus that is an objective focus In time or space ,A Focus that is an objective focus and is on a material object In time or space ,A Focus that is an objective focus that is immaterial In time or space ,A Focus that is an objective focus that is immaterial In time or space and factual,A Focus that is an objective focus that is immaterial In time or space and is an opinion or perspective,A Focus that is subjective focus In time or space ,A Focus that is subjective focus In time or space that is an abstract subjective focus ,A Focus that is subjective focus In time or space that is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is a creative subjective focus,A Focus that is a general or universal focus In time or space 
2.1,    Space,that is in a space ,A Focus In time or space that is in a space ,A Focus that is an objective focus In time or space that is in a space ,A Focus that is an objective focus and is on a material object In time or space that is in a space ,A Focus that is an objective focus that is immaterial that is in a space ,A Focus that is an objective focus that is immaterial that is in a space and factual,A Focus that is an objective focus that is immaterial that is in a space and is an opinion or perspective,A Focus that is subjective focus In time or space that is in a space ,A Focus that is subjective focus In time or space that is in a space that is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a space that is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a space that is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a space that is a creative subjective focus,A Focus that is a general or universal focus In time or space that is in a space 
2.1.1,        Near/Close,that is near or close by ,A Focus In time or space that is in a space that is near or close by ,A Focus that is an objective focus In time or space that is in a space that is near or close by ,A Focus that is an objective focus and is on a material object In time or space that is in a space that is near or close by ,A Focus that is an objective focus that is immaterial that is in a space that is near or close by ,A Focus that is an objective focus that is immaterial that is in a space that is near or close by and factual,A Focus that is an objective focus that is immaterial that is in a space that is near or close by and is an opinion or perspective,A Focus that is subjective focus In time or space that is in a space that is near or close by ,A Focus that is subjective focus In time or space that is in a space that is near or close by that is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a space that is near or close by that is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a space that is near or close by that is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a space that is near or close by that is a creative subjective focus,A Focus that is a general or universal focus In time or space that is near or close by 
2.1.2,        Distant/Far,that is far away or distant ,A Focus In time or space that is in a space that is far away or distant ,A Focus that is an objective focus In time or space that is in a space that is far away or distant ,A Focus that is an objective focus and is on a material object In time or space that is in a space that is far away or distant ,A Focus that is an objective focus that is immaterial that is in a space that is far away or distant ,A Focus that is an objective focus that is immaterial that is in a space that is far away or distant and factual,A Focus that is an objective focus that is immaterial that is in a space that is far away or distant and is an opinion or perspective,A Focus that is subjective focus In time or space that is in a space that is far away or distant ,A Focus that is subjective focus In time or space that is in a space that is far away or distant that is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a space that is far away or distant that is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a space that is far away or distant that is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a space that is far away or distant that is a creative subjective focus,A Focus that is a general or universal focus In time or space that is far away or distant 
