English Word,Node Collections
,General/Universal || Objective Focus -> Material Object -> Immaterial -> Factual -> Opinion/Perspective || Subjective Focus -> Abstract -> Creative || Spatial -> Time -> Past -> Near -> Distant -> Present -> Future -> Near -> Distant -> Space -> Near/Close -> Far/Distant -> Location || Action -> Past Tense/Occurred -> Current/Occuring -> Future/Forward -> Resting/Stopped || Identity -> Species -> Self -> Close Related External -> Distant Related External -> Gender -> Unidentified -> Binary -> Trans -> Female -> Male || Quantitative -> Singular -> Positive -> Negative -> Multiple -> Positive -> Negative
a,Focus
an,Focus
this,Focus||Identity||Quantitative?Singular||Focus||Identity
that,Focus||Identity||Spatial||Quantitative?Singular?Positive||Focus||Identity
the,Focus
for,Focus ?Objective Focus || Action ? Future/Forward || Focus || Quantitative ? Singular ? Positive
and,Focus ?Objective Focus || Focus || Quantitative ? Singular ? Positive ||Focus|| Quantitative ? Multiple ? Positive
nor,Focus ?Objective Focus || Action ? Future/Forward || Focus || Quantitative ? Singular ? Negative
or,Focus?Subjective || Quantitative - > Singular - > Negative || Focus ->Subjective->Abstract->Creative|| Quantitative?Singular ? Positive
but,Focus?Subjective || Quantitative - > Multiple - > Negative || Focus || Quantitative?Multiple ? Positive
yet,Focus?Subjective?Abstract?Negative || Action ? Past/Occurred || Focus?Subjective?Abstract?Positive|| Action ? Future/Forward ||Focus|| Action? Current Occurring
until,Focus?Subjective?Abstract?Negative || Action ? Past/Occurred || Focus?Subjective?Abstract?Positive|| Action ? Future/Forward ||Focus|| Action? Current Occurring
then,Focus?Subjective?Abstract?Negative || Action ? Past/Occurred || Focus?Subjective?Abstract?Positive|| Action ? Future/Forward ||Focus|| Action? Current Occurring||Focus?Objective?Immaterial?Factual||Spatial
therefore,Focus?Objective ?Immaterial||Focus?Subjective||Quantitative->Singular->Positive||Focus->Subjective||Focus->Objective->Immaterial->Factual||Spatial||Focus->Objective->Immaterial->Factual
thus,Focus?Objective ?Immaterial||Focus?Subjective||Quantitative->Singular->Positive||Focus->Subjective||Focus->Objective->Immaterial->Factual||Focus->Objective->Immaterial->Factual
although,Focus?Objective ?Immaterial||Focus?Subjective||Quantitative->Singular->Positive||Focus->Subjective||Focus->Objective->Immaterial->Factual
so,Focus?Objective ?Immaterial||Focus?Subjective||Quantitative->Singular->Positive||Focus->Subjective||Focus->Objective->Immaterial->Factual
after,Focus->Objective->Immaterial->Factual||Focus->Subjective||Quantitative->Singular->Positive||Spatial||Focus->Objective||Spatial||Focus->Subjective||Quantitative->Singular->Positive
while,Focus->Objective->Immaterial->Factual||Quantitative->Singular||Action->Current/Occurring||Focus-Objective->Immaterial->Factual||Quantitative->Singular||Spatial->Time-Present||Quantitative->Multiple->Positive
before,Focus->Objective->Immaterial->Factual||Focus->Subjective||Quantitative->Singular->Negative||Spatial||Focus->Objective||Spatial||Focus->Subjective||Quantitative->Singular->Negative
accordion,Objective Focus -> Material Object
airplane,Objective Focus -> Material Object
alligator,Identity -> Species
ambulance,Objective Focus -> Material Object
anchor,Objective Focus -> Material Object
ant,Identity -> Species
apartment,Objective Focus -> Material Object
apple,Objective Focus -> Material Object
apron,Objective Focus -> Material Object
armour,Objective Focus -> Material Object
ashtray,Objective Focus -> Material Object
asparagus,Objective Focus -> Material Object
avocado,Objective Focus -> Material Object
axe,Objective Focus -> Material Object
bag,Objective Focus -> Material Object
bagpipe,Objective Focus -> Material Object
ball,Objective Focus -> Material Object
balloon,Objective Focus -> Material Object
banana,Objective Focus -> Material Object
banjo,Objective Focus -> Material Object
banner,Objective Focus -> Material Object
barn,Objective Focus -> Material Object
barrel,Objective Focus -> Material Object
basement,Objective Focus -> Material Object
basket,Objective Focus -> Material Object
bat_(animal),Identity -> Species
bat_(baseball),Objective Focus -> Material Object
bathtub,Objective Focus -> Material Object
baton,Objective Focus -> Material Object
bayonet,Objective Focus -> Material Object
bazooka,Objective Focus -> Material Object
beans,Objective Focus -> Material Object
bear,Identity -> Species
